method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
gappy-POD,5.0,0.999,7,15,35,60,414,0.633035,0.00445401,1.54252
QDEIM,5.0,0.999,7,15,35,60,468,0.625902,0.00445401,1.54252
EQP,5.0,0.999,7,15,2048,80,80,0.10663,0.00270993,1.54681
SOPT,5.0,0.999,7,15,35,80,594,0.833177,0.00244188,0.736997
gappy-POD,5.0,0.999,7,15,35,80,522,0.787531,0.00387042,1.26229
QDEIM,5.0,0.999,7,15,35,80,594,0.792005,0.00387042,1.26229
EQP,5.0,0.999,7,15,2048,100,100,0.134798,0.00260237,1.61346
SOPT,5.0,0.999,7,15,35,100,675,0.916878,0.0019806,0.70157
gappy-POD,5.0,0.999,7,15,35,100,621,0.907836,0.00338546,1.16465
QDEIM,5.0,0.999,7,15,35,100,648,0.884096,0.00338546,1.16465
EQP,5.0,0.999,7,15,2048,200,200,0.221074,0.00227792,1.37521
SOPT,5.0,0.999,7,15,35,200,1026,1.48816,0.000380186,0.17367
gappy-POD,5.0,0.999,7,15,35,200,855,1.16969,0.00157013,0.476655
QDEIM,5.0,0.999,7,15,35,200,855,1.14474,0.00157013,0.476655
EQP,5.0,0.999,7,15,2048,300,300,0.27535,0.00155871,1.29703
SOPT,5.0,0.999,7,15,35,300,1125,1.52607,9.99751e-05,0.0557078
gappy-POD,5.0,0.999,7,15,35,300,1071,1.53275,0.000220617,0.0892049
QDEIM,5.0,0.999,7,15,35,300,1008,1.35422,0.000220617,0.0892049
EQP,5.0,0.999,7,15,2048,400,400,0.343211,0.00114174,1.27375
SOPT,5.0,0.999,7,15,35,400,1152,1.70026,4.08777e-06,0.003986
gappy-POD,5.0,0.999,7,15,35,400,1152,1.65046,3.96401e-06,0.00383619
QDEIM,5.0,0.999,7,15,35,400,1089,1.47142,3.96401e-06,0.00383619
EQP,5.0,0.999,7,15,2048,500,500,0.428963,0.00054665,1.08898
SOPT,5.0,0.999,7,15,35,500,1152,1.61343,4.05862e-06,0.00423611
gappy-POD,5.0,0.999,7,15,35,500,1152,1.57695,3.93318e-06,0.00394764
QDEIM,5.0,0.999,7,15,35,500,1134,1.5262,3.93318e-06,0.00394764
EQP,5.0,0.999,7,15,2048,600,600,0.518292,0.00040024,1.29124
SOPT,5.0,0.999,7,15,35,600,1152,1.715,4.02471e-06,0.00417273
gappy-POD,5.0,0.999,7,15,35,600,1152,1.71055,3.93202e-06,0.00397815
QDEIM,5.0,0.999,7,15,35,600,1152,1.58963,3.93202e-06,0.00397815
EQP,5.0,0.999,7,15,2048,700,700,0.586331,0.000182827,0.545968
SOPT,5.0,0.999,7,15,35,700,1152,1.67928,3.94125e-06,0.00394739
gappy-POD,5.0,0.999,7,15,35,700,1152,1.56524,3.92665e-06,0.0039882
QDEIM,5.0,0.999,7,15,35,700,1152,1.59714,3.92665e-06,0.0039882
EQP,5.0,0.999,7,15,2048,800,800,0.688847,0.00011147,0.346823
SOPT,5.0,0.999,7,15,35,800,1152,1.60685,3.93432e-06,0.0038817
gappy-POD,5.0,0.999,7,15,35,800,1152,1.70922,3.92631e-06,0.00403756
QDEIM,5.0,0.999,7,15,35,800,1152,1.59389,3.92631e-06,0.00403756
EQP,5.0,0.999,7,15,2048,900,900,0.703044,0.000204004,0.305425
SOPT,5.0,0.999,7,15,35,900,1152,1.74084,3.92243e-06,0.00382046
gappy-POD,5.0,0.999,7,15,35,900,1152,1.7374,3.92119e-06,0.00401413
QDEIM,5.0,0.999,7,15,35,900,1152,1.5866,3.92119e-06,0.00401413
EQP,5.0,0.999,7,15,2048,1000,1000,0.811583,0.000123493,0.198823
SOPT,5.0,0.999,7,15,35,1000,1152,1.71523,3.91412e-06,0.00373699
gappy-POD,5.0,0.999,7,15,35,1000,1152,1.60616,3.92224e-06,0.00402164
QDEIM,5.0,0.999,7,15,35,1000,1152,1.59572,3.92224e-06,0.00402164
EQP,5.0,0.999,7,15,2048,1100,1100,0.888436,4.39576e-05,0.0961513
SOPT,5.0,0.999,7,15,35,1100,1152,1.76806,3.90078e-06,0.0038004
gappy-POD,5.0,0.999,7,15,35,1100,1152,1.72213,3.92514e-06,0.0040287
QDEIM,5.0,0.999,7,15,35,1100,1152,1.61359,3.92514e-06,0.0040287
EQP,5.0,0.999,7,15,2048,1200,1200,0.942217,6.53585e-06,0.0168006
EQP,5.0,0.999,7,15,2048,1300,1300,1.03745,5.17067e-06,0.0115745
EQP,5.0,0.999,7,15,2048,1400,1356,1.07971,4.3044e-06,0.00897609
