method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
QDEIM,1.0,0.99,2,4,6,60,369,0.100948,0.00158153,0.247896
EQP,1.0,0.99,2,4,2048,80,80,0.0139246,0.00017984,0.230953
SOPT,1.0,0.99,2,4,6,80,639,0.169518,0.000373048,0.0637899
gappy-POD,1.0,0.99,2,4,6,80,396,0.109137,0.00153941,0.241091
QDEIM,1.0,0.99,2,4,6,80,450,0.123141,0.00153941,0.241091
EQP,1.0,0.99,2,4,2048,100,100,0.0166105,0.000166523,0.264484
SOPT,1.0,0.99,2,4,6,100,702,0.188297,0.000330058,0.0540253
gappy-POD,1.0,0.99,2,4,6,100,495,0.134555,0.00135385,0.225312
QDEIM,1.0,0.99,2,4,6,100,594,0.15887,0.00135385,0.225312
EQP,1.0,0.99,2,4,2048,120,120,0.0187859,0.000109996,0.162307
SOPT,1.0,0.99,2,4,6,120,756,0.199856,0.00030658,0.045473
gappy-POD,1.0,0.99,2,4,6,120,576,0.152405,0.00122988,0.201585
QDEIM,1.0,0.99,2,4,6,120,864,0.22989,0.00122988,0.201585
EQP,1.0,0.99,2,4,2048,140,140,0.0207811,0.000158895,0.275809
SOPT,1.0,0.99,2,4,6,140,828,0.21889,0.000244913,0.0352496
gappy-POD,1.0,0.99,2,4,6,140,657,0.175793,0.00107882,0.175099
QDEIM,1.0,0.99,2,4,6,140,891,0.234889,0.00107882,0.175099
EQP,1.0,0.99,2,4,2048,160,160,0.0230925,0.00016664,0.298096
SOPT,1.0,0.99,2,4,6,160,828,0.220849,0.000244913,0.0352496
gappy-POD,1.0,0.99,2,4,6,160,720,0.192993,0.000934893,0.155121
QDEIM,1.0,0.99,2,4,6,160,891,0.237965,0.000934893,0.155121
EQP,1.0,0.99,2,4,2048,180,180,0.0250839,0.000176103,0.283793
SOPT,1.0,0.99,2,4,6,180,891,0.245099,0.000208668,0.0332221
gappy-POD,1.0,0.99,2,4,6,180,792,0.208002,0.000809831,0.137002
QDEIM,1.0,0.99,2,4,6,180,909,0.239647,0.000809831,0.137002
EQP,1.0,0.99,2,4,2048,200,200,0.0268939,0.000143067,0.21491
SOPT,1.0,0.99,2,4,6,200,981,0.257099,0.000129416,0.0311217
gappy-POD,1.0,0.99,2,4,6,200,828,0.218051,0.000713266,0.11413
QDEIM,1.0,0.99,2,4,6,200,972,0.25467,0.000713266,0.11413
EQP,1.0,0.99,2,4,2048,220,220,0.0296191,0.0001478,0.212756
SOPT,1.0,0.99,2,4,6,220,981,0.261085,0.000129417,0.0311067
gappy-POD,1.0,0.99,2,4,6,220,900,0.236608,0.000580196,0.0996348
QDEIM,1.0,0.99,2,4,6,220,1008,0.264486,0.000580196,0.0996348
EQP,1.0,0.99,2,4,2048,240,240,0.0317382,0.000148461,0.227559
SOPT,1.0,0.99,2,4,6,240,1017,0.270716,0.000106262,0.0203061
gappy-POD,1.0,0.99,2,4,6,240,954,0.251053,0.000407511,0.0819165
QDEIM,1.0,0.99,2,4,6,240,1026,0.274259,0.000407511,0.0819165
EQP,1.0,0.99,2,4,2048,260,260,0.034078,5.05584e-05,0.178777
SOPT,1.0,0.99,2,4,6,260,1062,0.277817,7.44933e-05,0.0145401
gappy-POD,1.0,0.99,2,4,6,260,981,0.258185,0.00032591,0.070226
QDEIM,1.0,0.99,2,4,6,260,1026,0.271242,0.00032591,0.070226
EQP,1.0,0.99,2,4,2048,280,280,0.0369499,3.76799e-05,0.237447
SOPT,1.0,0.99,2,4,6,280,1098,0.293202,3.43619e-05,0.010544
gappy-POD,1.0,0.99,2,4,6,280,1026,0.269106,0.000217816,0.043605
QDEIM,1.0,0.99,2,4,6,280,1026,0.268246,0.000217816,0.043605
EQP,1.0,0.99,2,4,2048,300,300,0.0393489,8.4703e-05,0.0987772
SOPT,1.0,0.99,2,4,6,300,1125,0.299267,1.89631e-05,0.00967949
gappy-POD,1.0,0.99,2,4,6,300,1071,0.280576,0.000130972,0.0245517
QDEIM,1.0,0.99,2,4,6,300,1026,0.269784,0.000130972,0.0245517
EQP,1.0,0.99,2,4,2048,320,320,0.0413396,9.50448e-05,0.116408
SOPT,1.0,0.99,2,4,6,320,1143,0.302814,9.75407e-06,0.00965637
gappy-POD,1.0,0.99,2,4,6,320,1089,0.288064,0.000108731,0.0229658
QDEIM,1.0,0.99,2,4,6,320,1026,0.268494,0.000108731,0.0229658
EQP,1.0,0.99,2,4,2048,340,340,0.0429052,0.000100565,0.155462
SOPT,1.0,0.99,2,4,6,340,1152,0.304167,7.89159e-06,0.0086721
gappy-POD,1.0,0.99,2,4,6,340,1116,0.290583,6.82868e-05,0.0119799
QDEIM,1.0,0.99,2,4,6,340,1026,0.267636,6.82868e-05,0.0119799
EQP,1.0,0.99,2,4,2048,360,360,0.0450964,9.95866e-05,0.12859
SOPT,1.0,0.99,2,4,6,360,1152,0.300536,7.89611e-06,0.00866882
gappy-POD,1.0,0.99,2,4,6,360,1134,0.300832,2.44885e-05,0.0036351
QDEIM,1.0,0.99,2,4,6,360,1026,0.271312,2.44885e-05,0.0036351
EQP,1.0,0.99,2,4,2048,380,363,0.0455626,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,380,1152,0.306252,7.89887e-06,0.00869168
gappy-POD,1.0,0.99,2,4,6,380,1152,0.302322,7.88731e-06,0.00846577
QDEIM,1.0,0.99,2,4,6,380,1044,0.274482,7.88731e-06,0.00846577
EQP,1.0,0.99,2,4,2048,400,363,0.0445527,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,400,1152,0.300257,7.89241e-06,0.00868057
gappy-POD,1.0,0.99,2,4,6,400,1152,0.30248,7.88734e-06,0.00846666
QDEIM,1.0,0.99,2,4,6,400,1062,0.286874,7.88734e-06,0.00846666
EQP,1.0,0.99,2,4,2048,420,363,0.0454748,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,420,1152,0.301944,7.89256e-06,0.00863787
gappy-POD,1.0,0.99,2,4,6,420,1152,0.302054,7.88717e-06,0.0084665
QDEIM,1.0,0.99,2,4,6,420,1116,0.295329,7.88717e-06,0.0084665
EQP,1.0,0.99,2,4,2048,440,363,0.0448475,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,440,1152,0.30058,7.88907e-06,0.00861315
gappy-POD,1.0,0.99,2,4,6,440,1152,0.31285,7.88719e-06,0.00846451
QDEIM,1.0,0.99,2,4,6,440,1143,0.299552,7.88719e-06,0.00846451
EQP,1.0,0.99,2,4,2048,460,363,0.0458162,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,460,1152,0.301975,7.89238e-06,0.00859489
gappy-POD,1.0,0.99,2,4,6,460,1152,0.30015,7.88744e-06,0.0084661
QDEIM,1.0,0.99,2,4,6,460,1152,0.305032,7.88744e-06,0.0084661
EQP,1.0,0.99,2,4,2048,480,363,0.045542,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,480,1152,0.300802,7.89108e-06,0.00859566
gappy-POD,1.0,0.99,2,4,6,480,1152,0.305995,7.88716e-06,0.00847504
QDEIM,1.0,0.99,2,4,6,480,1152,0.303968,7.88716e-06,0.00847504
EQP,1.0,0.99,2,4,2048,500,363,0.0454805,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,500,1152,0.303229,7.89734e-06,0.00857777
gappy-POD,1.0,0.99,2,4,6,500,1152,0.303027,7.88684e-06,0.00846987
QDEIM,1.0,0.99,2,4,6,500,1152,0.300513,7.88684e-06,0.00846987
EQP,1.0,0.99,2,4,2048,520,363,0.0455982,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,520,1152,0.305218,7.88921e-06,0.0085639
gappy-POD,1.0,0.99,2,4,6,520,1152,0.308963,7.88713e-06,0.00846314
QDEIM,1.0,0.99,2,4,6,520,1152,0.304307,7.88713e-06,0.00846314
EQP,1.0,0.99,2,4,2048,540,363,0.0456399,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,540,1152,0.305712,7.88556e-06,0.00864282
gappy-POD,1.0,0.99,2,4,6,540,1152,0.304211,7.88717e-06,0.00846864
QDEIM,1.0,0.99,2,4,6,540,1152,0.300239,7.88717e-06,0.00846864
EQP,1.0,0.99,2,4,2048,560,363,0.044603,0.000102599,0.137697
SOPT,1.0,0.99,2,4,6,560,1152,0.305773,7.88446e-06,0.00865121
gappy-POD,1.0,0.99,2,4,6,560,1152,0.303996,7.88696e-06,0.00847032
QDEIM,1.0,0.99,2,4,6,560,1152,0.305937,7.88696e-06,0.00847032
