method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
QDEIM,2,0.999,14,16,16,18,0.544584791,0.000421694414678109
clsQDEIM,2,0.999,14,16,16,18,0.5452730450000001,0.0005833473243395321
SOPT,2,0.999,14,16,16,19,0.562147442,0.0005089763217865621
clsSOPT,2,0.999,14,16,16,19,0.565746953,0.0007648156249896736
QDEIM,2,0.999,14,16,16,19,0.571070997,0.0004191933741973518
clsQDEIM,2,0.999,14,16,16,19,0.570907105,0.0005554708629994808
SOPT,2,0.999,14,16,16,20,0.576072592,0.0004408607872224893
clsSOPT,2,0.999,14,16,16,20,0.5819390360000001,0.0007258784299334478
QDEIM,2,0.999,14,16,16,20,0.579580588,0.000414046494052279
clsQDEIM,2,0.999,14,16,16,20,0.584130888,0.0005515977891393457
SOPT,2,0.999,14,16,16,21,0.577358371,0.0003940043345359958
clsSOPT,2,0.999,14,16,16,21,0.585082332,0.0005804245242924335
QDEIM,2,0.999,14,16,16,21,0.601038286,0.0005059969903354115
clsQDEIM,2,0.999,14,16,16,21,0.630469689,0.0005501273220312784
SOPT,2,0.999,14,16,16,22,0.6000340660000001,0.0003975221851122611
clsSOPT,2,0.999,14,16,16,22,0.602706202,0.0004823859718758081
QDEIM,2,0.999,14,16,16,22,0.629367122,0.0004691674376019343
clsQDEIM,2,0.999,14,16,16,22,0.646597431,0.000495601616063935
SOPT,2,0.999,14,16,16,23,0.641843139,0.0003807564451265162
clsSOPT,2,0.999,14,16,16,23,0.63062364,0.0003592986091978463
QDEIM,2,0.999,14,16,16,23,0.664451429,0.0004716871541513954
clsQDEIM,2,0.999,14,16,16,23,0.6378378300000001,0.000688885897902122
SOPT,2,0.999,14,16,16,24,0.6229818890000001,0.000358535628811133
clsSOPT,2,0.999,14,16,16,24,0.654786757,0.0003568562708306186
QDEIM,2,0.999,14,16,16,24,0.661531185,0.000527591550423097
clsQDEIM,2,0.999,14,16,16,24,0.655342206,0.0007363671366461083
SOPT,2,0.999,14,16,16,25,0.64908838,0.0003544041106369237
clsSOPT,2,0.999,14,16,16,25,0.6668256699999999,0.0003578253766644284
QDEIM,2,0.999,14,16,16,25,0.6731460469999999,0.0005422985889251811
clsQDEIM,2,0.999,14,16,16,25,0.6838083829999999,0.0006968266418102347
SOPT,2,0.999,14,16,16,26,0.6685621820000001,0.000331325081738544
clsSOPT,2,0.999,14,16,16,26,0.679411816,0.000371528810595533
QDEIM,2,0.999,14,16,16,26,0.6908921029999999,0.0004940057193482177
clsQDEIM,2,0.999,14,16,16,26,0.693028011,0.0006415137199450467
SOPT,2,0.999,14,16,16,27,0.6860405220000001,0.0003172019847412286
clsSOPT,2,0.999,14,16,16,27,0.705421791,0.000312514359414818
QDEIM,2,0.999,14,16,16,27,0.706807322,0.0004086063108269238
clsQDEIM,2,0.999,14,16,16,27,0.7100049070000001,0.0006168213995436812
SOPT,2,0.999,14,16,16,28,0.7031704729999999,0.0003469747770335457
clsSOPT,2,0.999,14,16,16,28,0.710360746,0.0003143897750532725
QDEIM,2,0.999,14,16,16,28,0.727643261,0.0004080754315817848
clsQDEIM,2,0.999,14,16,16,28,0.723098893,0.0005494151986304292
SOPT,2,0.999,14,16,16,29,0.7170343889999999,0.0003565561882681857
clsSOPT,2,0.999,14,16,16,29,0.7299335929999999,0.0003292192799219296
QDEIM,2,0.999,14,16,16,29,0.746258797,0.0003866495661696323
clsQDEIM,2,0.999,14,16,16,29,0.746278121,0.0005233334042296345
SOPT,2,0.999,14,16,16,30,0.734302421,0.0003532386043262946
clsSOPT,2,0.999,14,16,16,30,0.753929772,0.0003307699157489877
QDEIM,2,0.999,14,16,16,30,0.763794555,0.0003999907833908751
clsQDEIM,2,0.999,14,16,16,30,0.761496124,0.0005688058240268571
SOPT,2,0.999,14,16,16,31,0.767852122,0.0003432345215437353
clsSOPT,2,0.999,14,16,16,31,0.762620436,0.0003376373415685299
QDEIM,2,0.999,14,16,16,31,0.7827348460000001,0.0004042522834185273
clsQDEIM,2,0.999,14,16,16,31,0.774957516,0.0005810884367881782
SOPT,2,0.999,14,16,16,32,0.7778424230000001,0.0003402595869869204
clsSOPT,2,0.999,14,16,16,32,0.770730304,0.0003375794215375834
QDEIM,2,0.999,14,16,16,32,0.800617661,0.0004006472651053251
clsQDEIM,2,0.999,14,16,16,32,0.805286431,0.0005851407969488716
SOPT,2,0.999,14,16,16,33,0.794175962,0.0003466572444912898
clsSOPT,2,0.999,14,16,16,33,0.791048979,0.0003406008801826497
QDEIM,2,0.999,14,16,16,33,0.822079161,0.0004030059938024098
