method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
gappy-POD,1.0,0.9999,5,15,20,80,333,0.0952565,0.0013367,0.187365
QDEIM,1.0,0.9999,5,15,20,80,288,0.0820788,0.0013367,0.187365
SOPT,1.0,0.9999,5,15,20,100,639,0.173677,0.000578339,0.0786709
gappy-POD,1.0,0.9999,5,15,20,100,414,0.114022,0.00110857,0.146651
QDEIM,1.0,0.9999,5,15,20,100,333,0.0943774,0.00110857,0.146651
SOPT,1.0,0.9999,5,15,20,120,693,0.1903,0.000517514,0.0706725
gappy-POD,1.0,0.9999,5,15,20,120,450,0.126253,0.00107402,0.144097
QDEIM,1.0,0.9999,5,15,20,120,360,0.101278,0.00107402,0.144097
SOPT,1.0,0.9999,5,15,20,140,720,0.199713,0.000497206,0.0684842
gappy-POD,1.0,0.9999,5,15,20,140,468,0.128604,0.0010388,0.139075
QDEIM,1.0,0.9999,5,15,20,140,387,0.108045,0.0010388,0.139075
SOPT,1.0,0.9999,5,15,20,160,765,0.209911,0.000482533,0.0668369
gappy-POD,1.0,0.9999,5,15,20,160,549,0.150797,0.000883372,0.116071
QDEIM,1.0,0.9999,5,15,20,160,432,0.121441,0.000883372,0.116071
SOPT,1.0,0.9999,5,15,20,180,792,0.212881,0.000427698,0.0563511
gappy-POD,1.0,0.9999,5,15,20,180,594,0.162638,0.000760016,0.104298
QDEIM,1.0,0.9999,5,15,20,180,486,0.135702,0.000760016,0.104298
SOPT,1.0,0.9999,5,15,20,200,801,0.216325,0.000390659,0.0488346
gappy-POD,1.0,0.9999,5,15,20,200,693,0.18915,0.000538809,0.0717357
QDEIM,1.0,0.9999,5,15,20,200,540,0.148062,0.000538809,0.0717357
SOPT,1.0,0.9999,5,15,20,220,864,0.233214,0.000260163,0.0369316
gappy-POD,1.0,0.9999,5,15,20,220,747,0.206287,0.000470126,0.0916128
QDEIM,1.0,0.9999,5,15,20,220,603,0.166751,0.000470126,0.0916128
SOPT,1.0,0.9999,5,15,20,240,927,0.250172,0.000151558,0.0197781
gappy-POD,1.0,0.9999,5,15,20,240,792,0.213205,0.000396671,0.0801352
QDEIM,1.0,0.9999,5,15,20,240,675,0.183817,0.000396671,0.0801352
SOPT,1.0,0.9999,5,15,20,260,963,0.26061,0.000113147,0.0136815
gappy-POD,1.0,0.9999,5,15,20,260,846,0.23125,0.00029465,0.0573815
QDEIM,1.0,0.9999,5,15,20,260,711,0.196756,0.00029465,0.0573815
SOPT,1.0,0.9999,5,15,20,280,1008,0.272614,8.79104e-05,0.0115984
gappy-POD,1.0,0.9999,5,15,20,280,891,0.242715,0.000243621,0.0451071
QDEIM,1.0,0.9999,5,15,20,280,774,0.212174,0.000243621,0.0451071
SOPT,1.0,0.9999,5,15,20,300,1035,0.278358,8.47469e-05,0.0104197
gappy-POD,1.0,0.9999,5,15,20,300,900,0.241587,0.000246225,0.048539
