method,t,energy_frac,rxdim,rvdim,nldim,nqp,time,err_x,err_v
gappy-POD,1.0,0.9999,5,15,20,250,828,0.226489,0.000326945,0.063002
QDEIM,1.0,0.9999,5,15,20,250,702,0.190352,0.000326945,0.063002
SOPT,1.0,0.9999,5,15,20,300,1035,0.277024,8.47469e-05,0.0104197
gappy-POD,1.0,0.9999,5,15,20,300,900,0.241632,0.000246225,0.048539
QDEIM,1.0,0.9999,5,15,20,300,837,0.226369,0.000246225,0.048539
SOPT,1.0,0.9999,5,15,20,350,1080,0.290589,6.25642e-05,0.00955406
gappy-POD,1.0,0.9999,5,15,20,350,1026,0.27515,0.00011729,0.0276218
QDEIM,1.0,0.9999,5,15,20,350,909,0.246954,0.00011729,0.0276218
SOPT,1.0,0.9999,5,15,20,400,1134,0.303106,1.77527e-05,0.00481472
gappy-POD,1.0,0.9999,5,15,20,400,1098,0.293787,3.32485e-05,0.00914151
QDEIM,1.0,0.9999,5,15,20,400,936,0.253913,3.32485e-05,0.00914151
SOPT,1.0,0.9999,5,15,20,450,1143,0.305877,9.7075e-06,0.00263485
gappy-POD,1.0,0.9999,5,15,20,450,1152,0.308483,1.30661e-07,0.000152216
QDEIM,1.0,0.9999,5,15,20,450,1017,0.27267,1.30661e-07,0.000152216
SOPT,1.0,0.9999,5,15,20,500,1152,0.309344,1.30899e-07,0.00014986
gappy-POD,1.0,0.9999,5,15,20,500,1152,0.311082,1.30652e-07,0.000152585
QDEIM,1.0,0.9999,5,15,20,500,1089,0.294278,1.30652e-07,0.000152585
SOPT,1.0,0.9999,5,15,20,550,1152,0.311495,1.309e-07,0.000149736
gappy-POD,1.0,0.9999,5,15,20,550,1152,0.31182,1.30667e-07,0.000152754
QDEIM,1.0,0.9999,5,15,20,550,1143,0.312018,1.30667e-07,0.000152754
SOPT,1.0,0.9999,5,15,20,600,1152,0.312932,1.30904e-07,0.000149737
gappy-POD,1.0,0.9999,5,15,20,600,1152,0.311127,1.30673e-07,0.000152557
QDEIM,1.0,0.9999,5,15,20,600,1152,0.318367,1.30673e-07,0.000152557
SOPT,1.0,0.9999,5,15,20,650,1152,0.313297,1.30902e-07,0.000149722
gappy-POD,1.0,0.9999,5,15,20,650,1152,0.311548,1.30686e-07,0.000151974
QDEIM,1.0,0.9999,5,15,20,650,1152,0.311854,1.30686e-07,0.000151974
SOPT,1.0,0.9999,5,15,20,700,1152,0.311267,1.30902e-07,0.000149536
gappy-POD,1.0,0.9999,5,15,20,700,1152,0.318269,1.30666e-07,0.00015175
QDEIM,1.0,0.9999,5,15,20,700,1152,0.312331,1.30666e-07,0.00015175
SOPT,1.0,0.9999,5,15,20,750,1152,0.310358,1.30906e-07,0.000149353
gappy-POD,1.0,0.9999,5,15,20,750,1152,0.314055,1.30695e-07,0.000151667
QDEIM,1.0,0.9999,5,15,20,750,1152,0.312688,1.30695e-07,0.000151667
SOPT,1.0,0.9999,5,15,20,800,1152,0.314021,1.30895e-07,0.000148967
gappy-POD,1.0,0.9999,5,15,20,800,1152,0.320317,1.30723e-07,0.000151499
QDEIM,1.0,0.9999,5,15,20,800,1152,0.316057,1.30723e-07,0.000151499
SOPT,1.0,0.9999,5,15,20,850,1152,0.311202,1.30855e-07,0.000149161
gappy-POD,1.0,0.9999,5,15,20,850,1152,0.315158,1.30729e-07,0.000151449
QDEIM,1.0,0.9999,5,15,20,850,1152,0.320437,1.30729e-07,0.000151449
SOPT,1.0,0.9999,5,15,20,900,1152,0.31489,1.30836e-07,0.000149546
gappy-POD,1.0,0.9999,5,15,20,900,1152,0.320516,1.30733e-07,0.000151375
QDEIM,1.0,0.9999,5,15,20,900,1152,0.314867,1.30733e-07,0.000151375
SOPT,1.0,0.9999,5,15,20,950,1152,0.313999,1.30836e-07,0.000149827
gappy-POD,1.0,0.9999,5,15,20,950,1152,0.315174,1.3073e-07,0.000151425
QDEIM,1.0,0.9999,5,15,20,950,1152,0.315079,1.3073e-07,0.000151425
SOPT,1.0,0.9999,5,15,20,1000,1152,0.315542,1.30797e-07,0.000149734
gappy-POD,1.0,0.9999,5,15,20,1000,1152,0.315769,1.30728e-07,0.000151444
QDEIM,1.0,0.9999,5,15,20,1000,1152,0.3168,1.30728e-07,0.000151444
SOPT,1.0,0.9999,5,15,20,1050,1152,0.316856,1.30808e-07,0.000150139
gappy-POD,1.0,0.9999,5,15,20,1050,1152,0.31721,1.30731e-07,0.00015141
QDEIM,1.0,0.9999,5,15,20,1050,1152,0.314718,1.30731e-07,0.00015141
SOPT,1.0,0.9999,5,15,20,1100,1152,0.316978,1.30738e-07,0.000150656
gappy-POD,1.0,0.9999,5,15,20,1100,1152,0.320312,1.30731e-07,0.000151422
QDEIM,1.0,0.9999,5,15,20,1100,1152,0.321916,1.30731e-07,0.000151422
SOPT,1.0,0.9999,5,15,20,1150,1152,0.313803,1.30743e-07,0.000151038
gappy-POD,1.0,0.9999,5,15,20,1150,1152,0.315396,1.30731e-07,0.000151418
QDEIM,1.0,0.9999,5,15,20,1150,1152,0.313234,1.30731e-07,0.000151418
EQP,1.0,0.99999,8,22,1150,2222,,0.217292,2.59099e-06,0.0309559
SOPT,1.0,0.99999,8,22,25,50,351,0.0977899,0.00114414,0.205517
gappy-POD,1.0,0.99999,8,22,25,50,234,0.067546,0.00151539,0.312169
QDEIM,1.0,0.99999,8,22,25,50,351,0.0989262,0.00151539,0.312169
SOPT,1.0,0.99999,8,22,25,100,567,0.15682,0.000714569,0.107955
gappy-POD,1.0,0.99999,8,22,25,100,369,0.103585,0.00116441,0.17465
QDEIM,1.0,0.99999,8,22,25,100,423,0.118148,0.00116441,0.17465
SOPT,1.0,0.99999,8,22,25,150,711,0.193493,0.000451593,0.0676994
gappy-POD,1.0,0.99999,8,22,25,150,504,0.140469,0.000848165,0.139268
QDEIM,1.0,0.99999,8,22,25,150,450,0.126286,0.000848165,0.139268
SOPT,1.0,0.99999,8,22,25,200,855,0.233514,0.000282174,0.0307672
gappy-POD,1.0,0.99999,8,22,25,200,603,0.16584,0.00069988,0.118809
QDEIM,1.0,0.99999,8,22,25,200,477,0.13315,0.00069988,0.118809
SOPT,1.0,0.99999,8,22,25,250,954,0.25892,0.000146699,0.0175331
gappy-POD,1.0,0.99999,8,22,25,250,738,0.202094,0.00042506,0.0814595
QDEIM,1.0,0.99999,8,22,25,250,486,0.138252,0.00042506,0.0814595
SOPT,1.0,0.99999,8,22,25,300,1053,0.283607,5.42684e-05,0.00815381
gappy-POD,1.0,0.99999,8,22,25,300,828,0.227531,0.000309195,0.0815798
QDEIM,1.0,0.99999,8,22,25,300,549,0.152905,0.000309195,0.0815798
SOPT,1.0,0.99999,8,22,25,350,1125,0.304929,1.24312e-05,0.00219264
gappy-POD,1.0,0.99999,8,22,25,350,900,0.246714,0.000238845,0.059899
QDEIM,1.0,0.99999,8,22,25,350,657,0.180172,0.000238845,0.059899
SOPT,1.0,0.99999,8,22,25,400,1134,0.307145,1.24242e-05,0.0020775
gappy-POD,1.0,0.99999,8,22,25,400,972,0.26562,0.000169075,0.0511789
QDEIM,1.0,0.99999,8,22,25,400,873,0.240267,0.000169075,0.0511789
SOPT,1.0,0.99999,8,22,25,450,1143,0.309105,5.43422e-06,0.00191629
gappy-POD,1.0,0.99999,8,22,25,450,1035,0.282318,0.000101684,0.0343755
QDEIM,1.0,0.99999,8,22,25,450,927,0.257017,0.000101684,0.0343755
SOPT,1.0,0.99999,8,22,25,500,1152,0.312592,7.75975e-09,4.47716e-05
gappy-POD,1.0,0.99999,8,22,25,500,1116,0.30529,2.10408e-05,0.00801472
QDEIM,1.0,0.99999,8,22,25,500,999,0.273518,2.10408e-05,0.00801472
SOPT,1.0,0.99999,8,22,25,550,1152,0.315639,7.76108e-09,4.4725e-05
gappy-POD,1.0,0.99999,8,22,25,550,1152,0.315983,7.76462e-09,4.41094e-05
QDEIM,1.0,0.99999,8,22,25,550,1044,0.285939,7.76462e-09,4.41094e-05
SOPT,1.0,0.99999,8,22,25,600,1152,0.313616,7.76143e-09,4.47258e-05
gappy-POD,1.0,0.99999,8,22,25,600,1152,0.313795,7.76501e-09,4.41056e-05
QDEIM,1.0,0.99999,8,22,25,600,1116,0.305918,7.76501e-09,4.41056e-05
SOPT,1.0,0.99999,8,22,25,650,1152,0.314864,7.76148e-09,4.47259e-05
