method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,4,0.99999,4,21,32,60,4.043040,2.914704,8.14531,0.00510559,0.166382,8.13276e-05
sopt,0.1,4,0.99999,4,21,32,65,4.282042,3.024792,7.91707,0.00510598,0.166385,8.13126e-05
clssopt,0.1,4,0.99999,4,21,32,65,3.958883,2.976651,8.40187,0.0051055,0.166381,8.13198e-05
sopt,0.1,4,0.99999,4,21,32,70,4.141496,2.786348,8.32039,0.00510596,0.166385,8.13126e-05
clssopt,0.1,4,0.99999,4,21,32,70,3.594563,3.198011,8.55689,0.00510556,0.166382,8.13151e-05
sopt,0.1,4,0.99999,4,21,32,75,4.230082,2.764671,9.23046,0.00510587,0.166385,8.13145e-05
clssopt,0.1,4,0.99999,4,21,32,75,3.517120,2.806320,8.79249,0.00510549,0.166383,8.13139e-05
sopt,0.1,4,0.99999,4,21,32,80,4.394650,2.780958,8.9334,0.00510583,0.166385,8.13163e-05
clssopt,0.1,4,0.99999,4,21,32,80,3.437096,3.319921,9.18397,0.00510556,0.166382,8.13138e-05
sopt,0.1,4,0.99999,4,21,32,85,4.022149,2.728643,9.30668,0.00510586,0.166385,8.13165e-05
clssopt,0.1,4,0.99999,4,21,32,85,3.126954,3.120061,9.36429,0.00510551,0.166382,8.13131e-05
sopt,0.1,4,0.99999,4,21,32,90,4.082221,2.638820,9.7298,0.00510585,0.166384,8.13165e-05
clssopt,0.1,4,0.99999,4,21,32,90,3.383066,2.898937,9.65705,0.00510549,0.166382,8.13132e-05
sopt,0.1,4,0.99999,4,21,32,95,3.967046,2.762213,10.3731,0.00510576,0.166384,8.13133e-05
clssopt,0.1,4,0.99999,4,21,32,95,2.986442,2.811892,10.0303,0.00510554,0.166381,8.13165e-05
sopt,0.1,4,0.99999,4,21,32,100,4.068818,2.497196,10.6623,0.00510577,0.166384,8.13116e-05
clssopt,0.1,4,0.99999,4,21,32,100,3.265027,3.051880,10.2533,0.00510549,0.166382,8.13136e-05
sopt,0.1,4,0.99999,4,21,32,105,3.864845,2.789217,10.8568,0.00510578,0.166384,8.13121e-05
clssopt,0.1,4,0.99999,4,21,32,105,3.494697,2.923137,10.4595,0.00510546,0.166382,8.13158e-05
sopt,0.1,4,0.99999,4,21,32,110,3.651908,2.746425,11.1659,0.00510577,0.166385,8.13112e-05
clssopt,0.1,4,0.99999,4,21,32,110,2.927459,2.575810,10.5961,0.0051055,0.166383,8.1316e-05
sopt,0.1,4,0.99999,4,21,32,115,3.417886,2.615359,11.2003,0.00510576,0.166385,8.13114e-05
clssopt,0.1,4,0.99999,4,21,32,115,3.039751,2.515100,11.0101,0.00510552,0.166382,8.13153e-05
sopt,0.1,4,0.99999,4,21,32,120,3.604101,2.837595,11.189,0.00510575,0.166384,8.1311e-05
