window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clsqdeim,0.2,40,33,1,,1.45e+00,0.163668,263.748,116.277
sopt,0.2,40,33,2,7.97475,8.85e+00,1.53184e-07,1.01666e-05,6.57954e-07
clssopt,0.2,40,33,2,8.5789,8.92e+00,1.00744e-06,0.000824986,4.71515e-05
qdeim,0.2,40,33,2,7.77685,9.43e+00,1.56887e-07,8.58702e-06,3.82122e-07
clsqdeim,0.2,40,33,2,,1.65e+00,0.206373,1.12752e+08,3.77833e+13
sopt,0.2,40,33,3,7.86066,8.29e+00,1.66404e-07,1.23749e-05,8.12952e-07
clssopt,0.2,40,33,3,6.87831,8.05e+00,2.94105e-07,0.000191351,1.51416e-05
qdeim,0.2,40,33,3,7.34843,8.54e+00,1.14659e-07,1.09647e-05,3.58455e-07
clsqdeim,0.2,40,33,3,,1.32e+00,0.209764,2.37982e+07,1.60056e+12
sopt,0.2,40,33,4,7.9182,8.55e+00,1.82675e-07,9.71676e-06,4.51453e-07
clssopt,0.2,40,33,4,8.05919,8.57e+00,2.02066e-07,0.000117633,8.77993e-06
qdeim,0.2,40,33,4,7.31077,8.87e+00,5.71537e-08,9.93744e-06,1.85263e-07
clsqdeim,0.2,40,33,4,,1.70e+00,0.211277,1.66072e+07,7.56044e+11
sopt,0.2,40,33,5,8.35401,8.62e+00,1.84652e-07,1.13527e-05,5.4839e-07
clssopt,0.2,40,33,5,9.47314,1.12e+01,3.8266e-07,0.000466356,2.9926e-05
qdeim,0.2,40,33,5,7.46172,8.52e+00,5.28681e-08,9.34391e-06,1.17869e-07
clsqdeim,0.2,40,33,5,,1.76e+00,0.199467,24365.4,2.37525e+06
sopt,0.2,40,33,6,8.85165,9.04e+00,1.91046e-07,1.00487e-05,5.9191e-07
clssopt,0.2,40,33,6,8.14069,8.08e+00,2.7697e-07,0.000540765,3.21424e-05
qdeim,0.2,40,33,6,8.63599,8.48e+00,3.47865e-08,9.84704e-06,6.66618e-08
clsqdeim,0.2,40,33,6,,1.72e+00,0.205793,8.42844e+07,2.13563e+13
sopt,0.2,40,33,7,8.80003,8.51e+00,1.94042e-07,1.04953e-05,6.15527e-07
clssopt,0.2,40,33,7,8.38086,8.00e+00,2.25461e-07,0.000420067,2.43771e-05
qdeim,0.2,40,33,7,8.32965,8.58e+00,4.29448e-08,1.01676e-05,5.97445e-08
clsqdeim,0.2,40,33,7,,1.58e+00,0.206835,5.12277e+07,7.77223e+12
sopt,0.2,40,33,8,7.94051,7.93e+00,1.93951e-07,1.09419e-05,5.57199e-07
clssopt,0.2,40,33,8,9.7233,8.60e+00,1.8535e-07,0.000238051,1.34647e-05
qdeim,0.2,40,33,8,10.7849,8.69e+00,5.35892e-08,8.32379e-06,9.39724e-08
clsqdeim,0.2,40,33,8,,1.72e+00,0.207297,2.61629e+07,2.00797e+12
sopt,0.2,40,33,9,8.66584,8.59e+00,1.96235e-07,1.09248e-05,5.26405e-07
clssopt,0.2,40,33,9,9.21993,8.27e+00,1.81056e-07,0.000128492,7.38395e-06
qdeim,0.2,40,33,9,8.34499,8.56e+00,7.1875e-08,8.70651e-06,6.41717e-08
clsqdeim,0.2,40,33,9,,1.71e+00,0.207705,3.38131e+07,3.33106e+12
sopt,0.2,40,33,10,9.76552,9.55e+00,2.00393e-07,1.16096e-05,5.32472e-07
clssopt,0.2,40,33,10,10.9555,1.05e+01,1.92945e-07,0.000175495,1.00357e-05
qdeim,0.2,40,33,10,8.50088,8.53e+00,7.45029e-08,9.15775e-06,8.80652e-08
clsqdeim,0.2,40,33,10,,1.56e+00,0.206532,2.73494e+07,2.21916e+12
sopt,0.2,45,29,1,5.70712,8.08e+00,2.04854e-07,7.49043e-06,6.30133e-07
clssopt,0.2,45,29,1,8.25802,8.04e+00,5.88131e-07,0.000131799,2.07987e-06
qdeim,0.2,45,29,1,5.63522,8.00e+00,4.36089e-08,1.48863e-05,8.9727e-07
clsqdeim,0.2,45,29,1,,1.16e+00,0.260823,327.032,1812.14
sopt,0.2,45,29,2,6.09049,8.14e+00,1.98517e-07,9.37259e-06,6.58712e-07
clssopt,0.2,45,29,2,6.78144,8.52e+00,1.3464e-06,0.000703567,3.51303e-05
qdeim,0.2,45,29,2,6.51154,8.31e+00,1.44113e-07,5.96105e-06,9.69858e-07
clsqdeim,0.2,45,29,2,,1.06e+00,0.263811,340.185,2040.96
sopt,0.2,45,29,3,9.50484,8.41e+00,2.58403e-07,9.99804e-06,8.12339e-07
clssopt,0.2,45,29,3,7.44674,8.31e+00,5.90116e-07,7.09649e-05,6.4311e-06
qdeim,0.2,45,29,3,7.41371,8.62e+00,1.89022e-08,5.03189e-06,4.16223e-07
clsqdeim,0.2,45,29,3,,1.21e+00,0.262809,340.411,2022.55
sopt,0.2,45,29,4,7.55403,9.01e+00,3.06172e-07,1.08036e-05,9.20377e-07
clssopt,0.2,45,29,4,7.6315,8.06e+00,6.6229e-07,4.98073e-05,7.04096e-06
qdeim,0.2,45,29,4,8.31958,8.23e+00,9.82929e-09,1.05508e-05,2.93735e-07
clsqdeim,0.2,45,29,4,,1.14e+00,0.265566,308.446,1700.27
sopt,0.2,45,29,5,7.28259,8.37e+00,4.03798e-07,1.79235e-05,7.80639e-07
clssopt,0.2,45,29,5,8.47822,8.31e+00,3.20619e-07,3.18252e-05,3.31356e-06
qdeim,0.2,45,29,5,7.0954,8.29e+00,2.53111e-08,1.96537e-05,3.17232e-07
clsqdeim,0.2,45,29,5,,1.25e+00,0.263329,311.105,1681.81
sopt,0.2,45,29,6,7.506,8.14e+00,2.22492e-07,1.23232e-05,9.18952e-07
clssopt,0.2,45,29,6,10.2083,8.97e+00,1.70626e-07,1.16867e-05,1.65583e-06
qdeim,0.2,45,29,6,7.83208,8.08e+00,1.30154e-08,1.65996e-05,5.36248e-07
clsqdeim,0.2,45,29,6,,1.28e+00,0.261651,419.599,2934.51
sopt,0.2,45,29,7,10.1494,9.79e+00,2.50271e-07,1.6368e-05,9.32123e-07
clssopt,0.2,45,29,7,10.3682,8.39e+00,2.67226e-07,2.81753e-05,2.5377e-06
qdeim,0.2,45,29,7,7.76675,9.11e+00,6.88516e-08,3.00597e-05,6.70655e-07
clsqdeim,0.2,45,29,7,,1.27e+00,0.259714,391.815,2585.66
sopt,0.2,45,29,8,9.97248,8.42e+00,2.30633e-07,1.79258e-05,9.27646e-07
clssopt,0.2,45,29,8,10.9194,1.03e+01,2.07615e-07,2.32582e-05,2.15179e-06
qdeim,0.2,45,29,8,6.76559,7.71e+00,1.24529e-07,3.48723e-05,5.26852e-07
clsqdeim,0.2,45,29,8,,1.27e+00,0.262534,327.014,1863.87
sopt,0.2,45,29,9,9.34754,8.38e+00,2.28865e-08,5.17877e-06,8.59555e-07
clssopt,0.2,45,29,9,10.3512,9.22e+00,3.00053e-07,1.63531e-05,1.51542e-06
qdeim,0.2,45,29,9,7.57621,8.39e+00,1.5412e-07,3.64619e-05,4.08646e-07
clsqdeim,0.2,45,29,9,,1.20e+00,0.265524,300.388,1581.88
sopt,0.2,45,29,10,9.27013,8.33e+00,1.68419e-08,6.4258e-06,8.62068e-07
clssopt,0.2,45,29,10,9.15083,7.77e+00,3.11244e-07,1.86294e-05,1.6586e-06
qdeim,0.2,45,29,10,18.3882,8.35e+00,1.31595e-07,3.37658e-05,4.87857e-07
clsqdeim,0.2,45,29,10,,1.23e+00,0.263986,335.114,1988.49
sopt,0.2,50,26,1,5.85257,8.11e+00,1.56757e-07,9.36443e-05,5.20948e-06
clssopt,0.2,50,26,1,5.77709,8.78e+00,4.32164e-05,0.0153516,0.00285987
qdeim,0.2,50,26,1,13.1232,8.46e+00,8.07351e-07,8.69628e-05,8.03538e-06
clsqdeim,0.2,50,26,1,,1.27e+00,0.226896,111.543,13.548
sopt,0.2,50,26,2,5.86449,7.96e+00,4.86089e-07,9.97432e-05,4.30198e-06
clssopt,0.2,50,26,2,7.93496,8.54e+00,2.03761e-06,0.000889752,0.000168048
qdeim,0.2,50,26,2,6.44936,7.90e+00,5.48255e-07,1.33374e-05,2.70365e-06
clsqdeim,0.2,50,26,2,,1.22e+00,0.226909,119.679,15.9768
sopt,0.2,50,26,3,7.89902,8.86e+00,3.03251e-07,7.66366e-05,2.3639e-06
clssopt,0.2,50,26,3,7.18772,7.65e+00,9.44075e-07,0.000180972,2.25843e-05
qdeim,0.2,50,26,3,6.44892,1.17e+01,4.1085e-07,2.44926e-05,2.13599e-06
clsqdeim,0.2,50,26,3,,1.25e+00,0.22898,123.655,16.9157
sopt,0.2,50,26,4,6.94639,8.31e+00,7.44822e-08,3.61558e-05,2.39666e-06
clssopt,0.2,50,26,4,6.91167,7.79e+00,5.51391e-07,0.000107395,2.02937e-05
qdeim,0.2,50,26,4,6.83079,8.15e+00,4.86983e-07,2.36898e-05,2.41218e-06
clsqdeim,0.2,50,26,4,,1.16e+00,0.224573,122.342,16.486
sopt,0.2,50,26,5,7.11783,8.09e+00,2.47173e-07,4.61043e-05,2.08831e-06
clssopt,0.2,50,26,5,8.13803,7.86e+00,8.96125e-07,1.81469e-05,1.08702e-06
qdeim,0.2,50,26,5,7.41457,8.19e+00,1.6541e-07,4.20169e-05,7.10763e-07
clsqdeim,0.2,50,26,5,,1.28e+00,0.224049,122.957,16.6191
sopt,0.2,50,26,6,8.23148,8.87e+00,3.37705e-07,2.61637e-05,9.41657e-07
clssopt,0.2,50,26,6,7.92344,7.66e+00,7.75134e-07,0.000120851,2.41442e-05
qdeim,0.2,50,26,6,7.32638,7.93e+00,3.17885e-07,5.40539e-05,1.19607e-06
clsqdeim,0.2,50,26,6,,1.25e+00,0.222894,121.545,16.3496
sopt,0.2,50,26,7,7.19853,7.74e+00,4.38557e-07,3.3779e-05,1.06601e-06
clssopt,0.2,50,26,7,7.35956,7.63e+00,8.60262e-07,2.85817e-05,4.38549e-06
qdeim,0.2,50,26,7,7.29729,8.15e+00,3.70188e-07,6.35094e-05,1.58458e-06
clsqdeim,0.2,50,26,7,,1.31e+00,0.222356,122.579,16.794
sopt,0.2,50,26,8,7.15489,7.61e+00,4.28078e-07,2.24507e-05,9.0768e-07
clssopt,0.2,50,26,8,8.44109,8.12e+00,5.39669e-07,3.40318e-05,5.32328e-06
qdeim,0.2,50,26,8,7.68861,8.31e+00,4.67496e-07,6.85572e-05,1.91998e-06
clsqdeim,0.2,50,26,8,,1.22e+00,0.221381,123.313,17.3529
sopt,0.2,50,26,9,7.63013,7.60e+00,4.82173e-07,2.59129e-05,1.0639e-06
clssopt,0.2,50,26,9,8.86596,1.60e+01,5.1757e-07,4.17544e-05,6.79902e-06
qdeim,0.2,50,26,9,8.34333,1.01e+01,4.71e-07,7.42496e-05,1.87996e-06
clsqdeim,0.2,50,26,9,,1.15e+00,0.220602,121.746,16.5566
sopt,0.2,50,26,10,8.48275,7.93e+00,4.15281e-07,1.75559e-05,7.2984e-07
clssopt,0.2,50,26,10,9.63459,8.23e+00,5.17902e-07,4.37764e-05,8.21143e-06
qdeim,0.2,50,26,10,9.5588,8.26e+00,4.84533e-07,7.63099e-05,1.8244e-06
clsqdeim,0.2,50,26,10,,1.11e+00,0.21829,127.229,18.4758
