method,pv,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,35,11.029931,3.499905,6.92221,0.000660333,0.189753,0.00506001
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,35,7.641755,6.172206,3.54541,2.94968e-05,0.00385197,9.67551e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,35,4.757689,3.567004,5.5186,3.17589e-05,0.0068406,0.000482207
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,40,4.495664,2.414733,5.479,0.000154201,0.0460926,0.000702791
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,40,9.661869,3.914477,7.17771,0.000768111,0.219734,0.0058881
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,40,7.734731,1.883004,3.67271,2.3787e-05,0.00341746,5.89561e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,40,4.177119,2.844005,5.8666,2.41082e-05,0.00492779,0.000328092
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,45,6.300938,2.245333,5.6731,8.94298e-05,0.0256543,0.000275941
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,45,10.542700,3.314759,7.85797,0.000594086,0.159563,0.00450644
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,45,6.410478,1.846323,3.90657,2.52565e-05,0.00356771,3.93842e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,45,3.999725,2.465664,6.54526,3.2841e-05,0.00761092,0.000469624
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,50,4.309997,1.971040,6.4471,8.76286e-06,0.00167339,4.41353e-05
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,50,9.646272,3.152257,7.85772,0.000509718,0.133582,0.00353513
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,50,5.816284,1.678015,4.16063,2.68779e-05,0.00323454,5.39959e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,50,4.314561,2.483328,6.72878,3.51396e-05,0.0103206,0.000574976
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,5,25.434327,11.466756,3.89159,0.00169661,1.93359,0.0375067
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,5,20.569894,13.980794,3.9949,0.000154463,0.043923,0.00200018
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,5,40.348052,12.129219,3.26611,2.67339e-05,0.00494704,0.00011748
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,5,20.732158,9.832765,3.27732,8.81643e-05,0.0581258,0.00198346
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,10,13.001092,9.543442,4.35519,0.00241566,3.63008,0.211506
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,10,15.468207,13.047036,4.25777,2.3321e-05,0.0255565,0.000906372
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,10,28.886131,7.248559,3.80138,6.25659e-05,0.00921025,0.000170948
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,10,19.042960,6.334193,3.79324,4.16104e-05,0.0229268,0.00051927
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,15,8.787800,6.984687,5.10885,0.00228781,4.76117,0.292233
