method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
SOPT,1,0.99,9,11,11,211,2.72881753,0.002750985518325671
clsSOPT,1,0.99,9,11,11,211,2.85053109,0.002738334334332113
QDEIM,1,0.99,9,11,11,211,2.83057992,0.002919903228800025
clsQDEIM,1,0.99,9,11,11,211,2.500588594,0.003056154513092678
SOPT,1,0.99,9,11,11,216,2.714748233,0.002732829972506073
clsSOPT,1,0.99,9,11,11,216,2.882429505,0.002738458631267439
QDEIM,1,0.99,9,11,11,216,2.837180617,0.002920188455924714
clsQDEIM,1,0.99,9,11,11,216,2.527899689,0.003054084257538475
SOPT,1,0.99,9,11,11,221,2.753269772,0.002733136595870724
clsSOPT,1,0.99,9,11,11,221,2.942798746,0.002737914042776582
QDEIM,1,0.99,9,11,11,221,2.845085918,0.002919758790584343
clsQDEIM,1,0.99,9,11,11,221,2.575761299,0.003056230444454532
SOPT,1,0.99,9,11,11,226,2.774352919,0.002733090246882067
clsSOPT,1,0.99,9,11,11,226,3.01050185,0.002736581445678809
QDEIM,1,0.99,9,11,11,226,2.850324861,0.002921059192931264
clsQDEIM,1,0.99,9,11,11,226,2.598142842,0.003056189621151115
SOPT,1,0.99,9,11,11,231,2.847043172,0.002780576974496185
clsSOPT,1,0.99,9,11,11,231,3.015696873,0.002735238406509594
QDEIM,1,0.99,9,11,11,231,2.9360248,0.002929501116800968
clsQDEIM,1,0.99,9,11,11,231,2.631837532,0.003037037312975507
SOPT,1,0.99,9,11,11,236,2.886804854,0.002773164662228698
clsSOPT,1,0.99,9,11,11,236,3.046717896,0.0027347000716665
QDEIM,1,0.99,9,11,11,236,2.967897303,0.002937294634188252
clsQDEIM,1,0.99,9,11,11,236,2.657250361,0.002958572987118342
SOPT,1,0.99,9,11,11,241,2.968930509,0.002766627941840316
clsSOPT,1,0.99,9,11,11,241,3.114979046,0.0027333925823197
QDEIM,1,0.99,9,11,11,241,3.060100041,0.002935083227456969
clsQDEIM,1,0.99,9,11,11,241,2.69534729,0.002956320195043426
SOPT,1,0.99,9,11,11,246,3.784222073,0.002767812665419515
clsSOPT,1,0.99,9,11,11,246,3.176141046,0.002731056537873028
QDEIM,1,0.99,9,11,11,246,3.079840393,0.002931351885956641
clsQDEIM,1,0.99,9,11,11,246,2.708784252,0.002958014740858743
SOPT,1,0.99,9,11,11,251,3.081113181,0.00276813920870296
