method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,5,0.999999,6,20,18,100,2.716689,4.207464,0.356398,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,5,12.330266,19.327432,0.135479,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,5,21.956973,31.805012,0.13361,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,10,10.709385,11.615827,0.15066,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,10,14.273339,17.379050,0.152685,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,15,7.748664,7.464209,0.161528,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,15,6.271614,13.324300,0.166551,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,20,5.947444,7.473552,0.18362,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,20,6.518982,9.325522,0.189503,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,25,5.751204,7.656396,0.188904,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,25,5.333332,7.608789,0.194148,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,30,5.197256,6.714714,0.200234,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,30,5.443346,6.981204,0.213296,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,35,4.277464,6.465863,0.213369,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,35,4.629684,7.454958,0.219726,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,40,4.140384,5.687147,0.223665,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,40,4.221839,7.095848,0.230526,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,45,4.350727,6.587422,0.244375,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,45,5.971646,6.594684,0.249236,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,50,5.065358,6.356009,0.306325,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,50,4.634879,6.788085,0.26257,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,55,4.038944,5.278952,0.27721,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,55,4.202620,5.995787,0.283298,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,60,3.654317,4.409402,0.292733,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,60,3.705912,5.232936,0.289469,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,65,4.033229,4.268899,0.297377,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,65,3.889908,5.865451,0.297463,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,70,3.097965,5.262985,0.310397,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,70,3.937199,5.800435,0.313679,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,75,3.346937,5.834784,0.322065,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,75,3.783480,4.968199,0.326048,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,80,3.742908,4.748723,0.330232,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,80,3.444213,4.899916,0.341945,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,85,3.075238,4.845121,0.34198,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,85,3.363240,4.285739,0.355163,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,90,3.750291,4.175332,0.351375,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,90,3.638625,4.080514,0.36105,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,95,2.924299,4.587858,0.363266,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,95,3.084865,4.343117,0.372816,0.00127361,0.997145,0.0410347
sopt,0.1,6,0.9999999,6,24,23,100,2.870299,4.572640,0.359024,0.00127361,0.997145,0.0410347
clssopt,0.1,6,0.9999999,6,24,23,100,3.590433,4.397008,0.388675,0.00127361,0.997145,0.0410347
