method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
qdeim,0.1,2,6,6,5,80,11.280801,974.426697,0.289913,1.87751e-05,0.0132208,0.00172224
gnat,0.1,2,6,6,5,80,3.187624,3.102484,0.534064,2.07236e-05,0.0135347,0.00185193
clsdopt,0.1,2,6,6,5,85,5.475488,76.196871,0.236005,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,85,3.138101,2.258501,0.512318,2.11264e-05,0.0103267,0.00193566
clsgnat,0.1,2,6,6,5,85,5.522369,4.400980,0.389897,0.00127634,,
dopt,0.1,2,6,6,5,85,31.859480,23.141874,0.215129,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,85,10.665945,3.127875,0.324765,1.87202e-05,0.0135984,0.00170883
gnat,0.1,2,6,6,5,85,3.303441,2.832879,0.576196,2.06984e-05,0.0135028,0.00185187
clsdopt,0.1,2,6,6,5,90,5.361669,2953736.497362,0.231583,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,90,2.785733,3.796323,0.556452,2.11308e-05,0.0103697,0.00194159
clsgnat,0.1,2,6,6,5,90,5.654325,5.026972,0.402489,0.00127634,,
dopt,0.1,2,6,6,5,90,24.185036,7744.342062,0.217273,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,90,10.444168,655.555448,0.322883,1.87665e-05,0.0138106,0.00170699
gnat,0.1,2,6,6,5,90,3.293726,3.463198,0.577063,2.06731e-05,0.0134752,0.00185212
clsdopt,0.1,2,6,6,5,95,6.700106,84.533228,0.238268,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,95,3.385137,2.259070,0.541439,2.1135e-05,0.0104017,0.00194576
clsgnat,0.1,2,6,6,5,95,5.625562,4.990958,0.411626,0.00127634,,
dopt,0.1,2,6,6,5,95,26.535033,24.053771,0.227636,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,95,9.847175,3.256615,0.32818,1.91023e-05,0.0136205,0.00174185
