method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.05,5,7,46,62,130,5.669295,7.973891,0.947335,2.57795e-06,0.000416888,3.70286e-05
qdeim,0.05,5,7,46,62,130,7.491829,9.109826,0.882811,2.7845e-06,0.000424838,3.2982e-05
sopt,0.05,5,7,46,62,140,5.136290,6.963108,0.963216,2.7642e-06,0.000420898,4.03138e-05
qdeim,0.05,5,7,46,62,140,6.715197,9.611745,0.946653,3.95813e-06,0.000606783,6.23656e-05
sopt,0.05,5,7,46,62,150,5.067990,7.754563,1.0012,2.8015e-06,0.000423827,4.39019e-05
qdeim,0.05,5,7,46,62,150,7.785274,9.107491,0.9477,3.28517e-06,0.000500944,4.27198e-05
sopt,0.05,5,7,46,62,160,4.675626,7.291813,1.01581,2.33195e-06,0.00041057,3.75736e-05
qdeim,0.05,5,7,46,62,160,6.719737,8.108199,0.980692,2.40488e-06,0.000435022,3.03407e-05
sopt,0.05,5,7,46,62,170,4.339646,7.533888,1.0253,2.3107e-06,0.000407415,3.57213e-05
qdeim,0.05,5,7,46,62,170,6.721217,8.413870,1.03236,1.80717e-06,0.000399402,2.39986e-05
sopt,0.05,5,7,46,62,180,4.715171,7.259941,1.04442,2.26377e-06,0.000399188,3.22691e-05
qdeim,0.05,5,7,46,62,180,6.362057,8.774161,0.9857,1.9069e-06,0.000404645,2.60927e-05
sopt,0.05,5,7,46,62,190,4.548571,7.696814,1.07617,1.99445e-06,0.000393286,2.89965e-05
qdeim,0.05,5,7,46,62,190,5.983447,8.499368,1.0126,1.65104e-06,0.000389888,2.31609e-05
sopt,0.05,5,7,46,62,200,4.633099,7.721931,1.12962,1.89715e-06,0.000387983,2.70459e-05
qdeim,0.05,5,7,46,62,200,5.669109,7.892784,1.03554,1.63647e-06,0.000385812,2.30513e-05
sopt,0.05,6,7,55,69,10,28.263298,37.785335,0.544175,0.000100634,0.0437646,0.00683653
qdeim,0.05,6,7,55,69,10,47.752116,27.004143,,0.0276261,5.13197,1.28472
sopt,0.05,6,7,55,69,20,15.578480,16.829085,0.589344,6.5883e-06,0.00110915,0.000140599
qdeim,0.05,6,7,55,69,20,31.196658,26.540138,,0.0246216,4.40844,5.92473
sopt,0.05,6,7,55,69,30,13.474561,12.086649,0.609578,7.77251e-06,0.00130168,0.000188231
qdeim,0.05,6,7,55,69,30,24.147640,15.572721,,0.00558895,2.26796,0.323802
sopt,0.05,6,7,55,69,40,10.990302,11.585085,0.681328,4.61026e-06,0.000549562,6.52523e-05
qdeim,0.05,6,7,55,69,40,15.983785,15.177828,,0.0126009,3.18755,0.498765
sopt,0.05,6,7,55,69,50,11.153122,9.188080,0.721204,3.05939e-06,0.00038919,3.5926e-05
qdeim,0.05,6,7,55,69,50,17.281215,16.149948,,0.0100833,28.9575,28.9156
sopt,0.05,6,7,55,69,60,8.983650,9.048971,0.784003,3.16961e-06,0.000458794,3.59003e-05
qdeim,0.05,6,7,55,69,60,15.434397,14.852516,,0.00616752,41.9235,26.1398
sopt,0.05,6,7,55,69,70,7.942135,8.809556,0.846601,1.23245e-06,0.000376639,2.57136e-05
qdeim,0.05,6,7,55,69,70,12.680100,15.398320,0.989323,0.00119446,1.06046,0.157484
sopt,0.05,6,7,55,69,80,7.849355,10.105358,0.83241,1.22589e-06,0.000370128,2.41296e-05
qdeim,0.05,6,7,55,69,80,12.904258,20.603368,0.969534,0.000899489,0.674277,0.0920804
sopt,0.05,6,7,55,69,90,6.965714,7.828259,0.874052,1.39838e-06,0.000354048,2.3203e-05
qdeim,0.05,6,7,55,69,90,10.859164,12.235373,0.906859,7.96454e-05,0.0314231,0.00443035
sopt,0.05,6,7,55,69,100,7.406954,7.818635,0.895695,1.78572e-06,0.00035693,2.31363e-05
qdeim,0.05,6,7,55,69,100,9.394317,12.744576,0.929862,1.14238e-05,0.00263926,0.000441979
sopt,0.05,6,7,55,69,110,6.171638,15.864954,0.947476,1.83237e-06,0.000355955,2.28961e-05
qdeim,0.05,6,7,55,69,110,10.810789,33.919610,0.966707,4.83268e-06,0.000889926,0.000126555
sopt,0.05,6,7,55,69,120,6.210856,7.837968,0.989437,1.57765e-06,0.000361814,2.35907e-05
qdeim,0.05,6,7,55,69,120,8.904922,12.671639,1.01553,4.57012e-06,0.0010292,0.000164658
sopt,0.05,6,7,55,69,130,5.922849,7.706430,1.00547,1.34329e-06,0.000366249,2.42532e-05
qdeim,0.05,6,7,55,69,130,7.969447,14.173971,1.04156,3.02261e-06,0.000681925,9.19966e-05
sopt,0.05,6,7,55,69,140,5.610270,7.466035,1.0494,1.37376e-06,0.000360703,2.20644e-05
qdeim,0.05,6,7,55,69,140,8.329234,20.666279,1.08141,3.04053e-06,0.000711139,9.83718e-05
sopt,0.05,6,7,55,69,150,5.274703,7.047884,1.06084,1.34021e-06,0.000359313,2.38411e-05
