method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsqdeim,0.1,4,3,11,190,1.461158,1.106013,,0.0295115,22.702,0.396598
clsgnat,0.1,4,3,11,190,1746949.308349,1.194480,26.0082,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,190,1.974898,3.054461,12.4502,8.03344e-06,0.00345622,0.00016212
qdeim,0.1,4,3,11,190,2.895510,1.291517,8.77663,3.75825e-06,0.0012438,1.53027e-05
gnat,0.1,4,3,11,190,2.295132,1.661612,8.24846,1.67602e-06,0.00100592,1.31144e-05
clssopt,0.1,4,3,11,200,4.593707,1.098528,13.0061,0.00283539,1.00448,0.0386902
clsqdeim,0.1,4,3,11,200,1.379450,1.047727,16.5931,0.0215392,17.8987,0.626296
clsgnat,0.1,4,3,11,200,1170322.491265,1.260356,28.12,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,3,11,200,2.129007,1.969790,13.5393,6.68267e-06,0.00300004,0.000132189
qdeim,0.1,4,3,11,200,2.345691,1.171279,8.78153,4.62482e-06,0.00119449,1.49574e-05
gnat,0.1,4,3,11,200,2.120045,1.767238,8.55644,1.78007e-06,0.00105771,1.1762e-05
clssopt,0.1,4,7,18,10,5.493730,2.181170,,0.0145962,9.43338,0.413351
clsqdeim,0.1,4,7,18,10,8.381400,2.434386,,0.0265186,8.91711,0.326733
clsgnat,0.1,4,7,18,10,9399388.177226,715498.322372,2.81491,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,10,10.602481,4.008239,3.24288,8.73999e-05,0.0319474,0.00216856
qdeim,0.1,4,7,18,10,17.170836,3.124251,2.48239,1.46004e-05,0.00246776,5.8736e-05
gnat,0.1,4,7,18,10,6.311418,3.025119,2.70565,6.06672e-05,0.0149353,0.000341877
clssopt,0.1,4,7,18,20,5.752650,1.726996,5.74576,2.97488e-05,0.00480143,0.000129544
clsqdeim,0.1,4,7,18,20,4.481189,2.013646,6.18786,2.49018e-05,0.02079,0.000491245
clsgnat,0.1,4,7,18,20,8473404.805860,616456.064157,3.35369,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,20,7.139864,3.751410,4.14348,0.00017444,0.0632767,0.0038909
qdeim,0.1,4,7,18,20,10.294828,1.962337,3.07324,5.13175e-06,0.00163996,3.19595e-05
gnat,0.1,4,7,18,20,7.951434,2.458418,3.25997,7.14616e-05,0.0168729,0.000370791
clssopt,0.1,4,7,18,30,3.135926,2.387325,7.14524,0.000288413,0.0521759,0.00120469
clsqdeim,0.1,4,7,18,30,4.176001,1.728712,7.45098,8.2867e-05,0.054271,0.00164758
clsgnat,0.1,4,7,18,30,6101382.488340,540536.721763,3.99537,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,30,4.846056,3.043434,5.18253,5.55176e-05,0.0140777,0.00108927
qdeim,0.1,4,7,18,30,9.604746,1.889621,3.40541,2.26488e-05,0.00333621,6.42322e-05
gnat,0.1,4,7,18,30,5.520084,2.951289,4.25895,6.23228e-05,0.0167913,0.00039689
clssopt,0.1,4,7,18,40,2.600777,1.870703,8.42679,1.49568e-05,0.0035369,0.000164106
clsqdeim,0.1,4,7,18,40,2.729187,1.892279,8.48273,3.30261e-05,0.0179813,0.000619478
clsgnat,0.1,4,7,18,40,5353140.619679,516826.619389,6.85477,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,40,4.177119,2.562933,6.04987,2.48012e-05,0.00502367,0.000328797
qdeim,0.1,4,7,18,40,7.734731,1.789153,3.84368,5.09482e-05,0.00609172,0.000167587
gnat,0.1,4,7,18,40,5.101552,1.757134,4.5047,6.56171e-05,0.0179847,0.000419482
clssopt,0.1,4,7,18,50,2.493222,1.658643,9.01778,6.80697e-06,0.0016784,0.000106873
clsqdeim,0.1,4,7,18,50,2.972595,1.979854,9.61856,3.04291e-06,0.00241963,3.07945e-05
clsgnat,0.1,4,7,18,50,6369712.827321,4.130788,5.10625,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,50,3.888485,2.335426,6.78703,2.49533e-05,0.00775963,0.000368897
qdeim,0.1,4,7,18,50,5.816284,1.736103,4.38548,0.000123916,0.0139637,0.000460522
gnat,0.1,4,7,18,50,3.924209,1.565339,5.07183,5.22202e-05,0.017826,0.000445549
clssopt,0.1,4,7,18,60,2.524562,1.763170,9.49382,1.13984e-05,0.00259628,0.000140454
clsqdeim,0.1,4,7,18,60,2.917576,1.862274,9.85763,5.25822e-05,0.0271706,0.00123477
clsgnat,0.1,4,7,18,60,5523649.101161,1.593668,6.12781,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,60,3.594974,2.151852,7.75806,2.91145e-05,0.014719,0.000707999
qdeim,0.1,4,7,18,60,6.217773,1.829347,4.97962,0.000119272,0.0130924,0.00043205
gnat,0.1,4,7,18,60,5.037876,1.517706,5.18422,5.28412e-06,0.00301937,9.20437e-05
clssopt,0.1,4,7,18,70,2.375707,1.587832,10.3546,1.17748e-05,0.0033699,0.000150277
clsqdeim,0.1,4,7,18,70,2.087130,2.367415,10.2773,2.31729e-05,0.0114749,0.00048427
clsgnat,0.1,4,7,18,70,3980714.242076,478566.954474,5.85439,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,70,3.683432,2.018763,8.34414,2.65508e-05,0.0158311,0.000684855
qdeim,0.1,4,7,18,70,5.107153,3.571171,5.03585,0.00012894,0.0141728,0.000470741
gnat,0.1,4,7,18,70,3.622185,1.941988,6.21708,6.15115e-06,0.00171842,7.40472e-05
clssopt,0.1,4,7,18,80,2.248811,1.522073,10.9852,1.19841e-05,0.00262223,0.000129291
clsqdeim,0.1,4,7,18,80,2.630707,1.733345,10.8656,5.71251e-05,0.0292866,0.00129714
clsgnat,0.1,4,7,18,80,3996986.168943,1.777334,6.48571,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,80,5.545809,2.230565,9.34447,2.82412e-05,0.0181879,0.000741258
qdeim,0.1,4,7,18,80,5.114608,1.690642,5.61446,0.000124671,0.0133028,0.000457673
gnat,0.1,4,7,18,80,3.252549,1.538179,5.69809,4.2355e-06,0.0023474,3.84083e-05
clssopt,0.1,4,7,18,90,2.149601,1.494033,11.5297,6.63426e-06,0.00275912,7.38307e-05
clsqdeim,0.1,4,7,18,90,3.089616,1.667947,11.2562,4.57372e-05,0.0204982,0.000905565
clsgnat,0.1,4,7,18,90,3551803.003789,21.894925,6.55708,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,90,6.797393,2.000992,9.92057,3.75172e-05,0.0209079,0.000917679
qdeim,0.1,4,7,18,90,9.993466,1.629016,6.1108,0.000133878,0.0144979,0.000568668
gnat,0.1,4,7,18,90,5.124481,1.537212,5.99415,6.54417e-06,0.00308602,3.28166e-05
clssopt,0.1,4,7,18,100,2.242585,1.377542,12.1424,6.22398e-06,0.00330797,9.48187e-05
clsqdeim,0.1,4,7,18,100,2.229666,1.550451,11.9545,5.18577e-05,0.0248286,0.000994037
clsgnat,0.1,4,7,18,100,3529333.055842,2.044888,6.9389,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,100,4.523535,1.840234,10.7715,3.497e-05,0.0186459,0.000799093
qdeim,0.1,4,7,18,100,4.385711,1.469275,6.43178,2.42879e-05,0.0015851,7.79068e-05
gnat,0.1,4,7,18,100,3.193151,1.328458,6.563,1.72391e-05,0.00605552,3.26784e-05
clssopt,0.1,4,7,18,110,1.997691,1.358690,13.0875,6.73169e-06,0.0040228,9.42758e-05
clsqdeim,0.1,4,7,18,110,1.994991,1.481082,12.1272,4.81831e-05,0.0243545,0.000958204
clsgnat,0.1,4,7,18,110,3125376.839968,1.629742,7.09621,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,110,4.041200,1.825093,11.2955,3.93743e-05,0.0276657,0.00119075
qdeim,0.1,4,7,18,110,3.977553,1.441337,6.89338,6.88515e-06,0.00214802,9.38397e-05
gnat,0.1,4,7,18,110,3.866512,1.303049,6.79734,4.84616e-06,0.00208133,1.75907e-05
clssopt,0.1,4,7,18,120,1.908646,1.381453,13.2827,7.16332e-06,0.00371869,0.000107895
clsqdeim,0.1,4,7,18,120,2.207582,1.445398,12.9037,6.72286e-05,0.0341142,0.00139947
clsgnat,0.1,4,7,18,120,3517274.346277,2.690352,7.40767,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,120,4.264412,1.627396,11.7308,3.53014e-05,0.0253081,0.00106687
qdeim,0.1,4,7,18,120,4.339399,1.446344,7.53728,4.98688e-06,0.0014933,4.62228e-05
gnat,0.1,4,7,18,120,3.609316,1.350582,6.74553,4.43412e-06,0.0017921,1.18949e-05
clssopt,0.1,4,7,18,130,1.775486,1.302317,13.527,9.19226e-06,0.00363989,0.000144107
clsqdeim,0.1,4,7,18,130,1.836489,1.318600,12.9818,3.69663e-05,0.0175643,0.000677671
clsgnat,0.1,4,7,18,130,1813044.799787,670951.045353,8.09956,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,130,4.858015,2.221088,11.9922,3.00343e-05,0.0256811,0.00109759
qdeim,0.1,4,7,18,130,3.504356,1.631851,7.51677,4.64264e-06,0.00157398,4.94229e-05
gnat,0.1,4,7,18,130,3.573455,1.351227,6.89636,8.46315e-06,0.00148877,2.27696e-05
clssopt,0.1,4,7,18,140,1.815929,1.705439,14.1764,9.96909e-06,0.00413181,0.000170726
clsqdeim,0.1,4,7,18,140,1.831952,1.758782,13.2273,2.28869e-05,0.0106346,0.000399182
clsgnat,0.1,4,7,18,140,2371673.832391,952056.712394,12.0261,0.0611299,0.165944,8.24708e-05
