p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
1,QDEIM,3,0.9999,19,21,21,33,7.161811,0.777017051,0.0007601535148898243
0.3,clsthQDEIM,3,0.9999,19,21,21,33,7.132458,0.722357649,0.004528304211212006
0.3,thQDEIM,3,0.9999,19,21,21,33,6.651660,0.808585521,0.00110748349554489
,SOPT,3,0.9999,19,21,21,35,5.386876,0.822240524,0.0006982988046471187
0.3,clsthSOPT,3,0.9999,19,21,21,35,7.548589,0.796031061,0.0005972076349247871
0.3,thSOPT,3,0.9999,19,21,21,35,8.762353,0.834416643,0.0006982988046474748
1,QDEIM,3,0.9999,19,21,21,35,6.666146,0.819548998,0.000605842735060017
0.3,clsthQDEIM,3,0.9999,19,21,21,35,6.764593,0.74539073,0.003966221432331796
0.3,thQDEIM,3,0.9999,19,21,21,35,7.215495,0.8187835299999999,0.001095313597548178
,SOPT,3,0.9999,19,21,21,37,5.691507,0.856195719,0.0004290210837104555
0.3,clsthSOPT,3,0.9999,19,21,21,37,7.634219,0.8363395050000001,0.0006367301822445115
0.3,thSOPT,3,0.9999,19,21,21,37,5.631766,0.936248116,0.00042902108371138
1,QDEIM,3,0.9999,19,21,21,37,9.032751,0.849791618,0.0003873209858284718
0.3,clsthQDEIM,3,0.9999,19,21,21,37,5.400384,0.768991957,0.003927612940769647
0.3,thQDEIM,3,0.9999,19,21,21,37,7.116276,0.8567347789999999,0.001085384412916346
,SOPT,3,0.9999,19,21,21,39,5.141410,0.879843406,0.0004184547807224449
0.3,clsthSOPT,3,0.9999,19,21,21,39,5.914043,0.864743087,0.0006063399997468031
0.3,thSOPT,3,0.9999,19,21,21,39,7.210063,0.9121783489999999,0.0004184547807231361
1,QDEIM,3,0.9999,19,21,21,39,6.746065,0.886838171,0.000360699153907191
0.3,clsthQDEIM,3,0.9999,19,21,21,39,6.966252,0.7985542409999999,0.003836947526900106
0.3,thQDEIM,3,0.9999,19,21,21,39,5.782061,0.891234937,0.00109538925517369
,SOPT,3,0.9999,19,21,21,41,7.245145,0.909188786,0.000391704477051771
0.3,clsthSOPT,3,0.9999,19,21,21,41,5.984124,0.888587902,0.0005153332939938995
0.3,thSOPT,3,0.9999,19,21,21,41,4.636314,0.934915328,0.0003917044770518993
1,QDEIM,3,0.9999,19,21,21,41,4.875329,0.919722747,0.0004538467812482973
0.3,clsthQDEIM,3,0.9999,19,21,21,41,6.701493,0.978052688,0.003620521729862961
0.3,thQDEIM,3,0.9999,19,21,21,41,6.757502,0.930871862,0.001005014311048836
,SOPT,3,0.9999,19,21,21,43,5.327270,1.053234111,0.0003307410708348265
0.3,clsthSOPT,3,0.9999,19,21,21,43,6.451183,0.928602158,0.0003188925161428844
0.3,thSOPT,3,0.9999,19,21,21,43,5.948695,0.977910103,0.0003307410708345866
1,QDEIM,3,0.9999,19,21,21,43,5.324490,0.973066185,0.0004711202921762566
0.3,clsthQDEIM,3,0.9999,19,21,21,43,3.951215,0.864236231,0.003638784889009609
0.3,thQDEIM,3,0.9999,19,21,21,43,7.021547,1.020715679,0.001048501581996048
,SOPT,3,0.9999,19,21,21,45,4.223863,0.971737469,9.44275783360269e-05
0.3,clsthSOPT,3,0.9999,19,21,21,45,4.634862,0.938016721,0.0004603051840182312
0.3,thSOPT,3,0.9999,19,21,21,45,4.062319,0.99360523,9.442757833590884e-05
1,QDEIM,3,0.9999,19,21,21,45,5.822470,1.115436241,0.0004744102678447797
0.3,clsthQDEIM,3,0.9999,19,21,21,45,4.972645,0.873143436,0.003817405447915385
0.3,thQDEIM,3,0.9999,19,21,21,45,5.118904,0.997358702,0.0008886251634957869
,SOPT,3,0.9999,19,21,21,47,4.794221,0.998405377,8.530622274075963e-05
0.3,clsthSOPT,3,0.9999,19,21,21,47,4.464359,0.971470503,0.0004552969084743602
