method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsqdeim,0.05,7,14,33,70,3.091891,3.276960,,0.0090339,1.31034,0.32738
clsgnat,0.05,7,14,33,70,3600044.501118,5824718.130429,,nan,nan,nan
sopt,0.05,7,14,33,70,5.055240,3.346528,0.567969,5.19226e-06,0.000545497,9.42322e-05
qdeim,0.05,7,14,33,70,10.175680,3.869747,0.597023,5.60888e-06,0.000967948,0.000127164
gnat,0.05,7,14,33,70,5.415047,6.484321,0.426179,0.00105141,0.387667,0.0356926
clssopt,0.05,7,14,33,80,3.142778,1.642139,,0.0198319,2.35352e+09,6.19692e+18
clsqdeim,0.05,7,14,33,80,2.946753,2.093520,,0.00595469,1.26988,0.311814
clsgnat,0.05,7,14,33,80,3810666.792543,5211155.113612,1.39411,0.0500529,,
sopt,0.05,7,14,33,80,5.035558,2.564327,0.60424,3.99979e-06,0.000439595,7.63396e-05
qdeim,0.05,7,14,33,80,8.994915,2.846607,0.620693,3.45406e-06,0.000787827,9.50853e-05
gnat,0.05,7,14,33,80,4.482972,1.858027,0.43471,0.000903831,0.310993,0.0313846
clssopt,0.05,7,14,33,90,2.725180,1.883940,,0.0166691,8.85943e+11,8.05282e+23
clsqdeim,0.05,7,14,33,90,2.979402,1.804191,,0.00262797,1.57067,0.379354
clsgnat,0.05,7,14,33,90,3292017.595598,4942438.259983,,nan,nan,3.47316e+20
sopt,0.05,7,14,33,90,4.548439,2.884182,0.620121,3.4615e-06,0.000385369,6.08873e-05
qdeim,0.05,7,14,33,90,6.783855,2.856445,0.631914,3.16062e-06,0.000818975,8.69988e-05
gnat,0.05,7,14,33,90,5.495070,1.814768,0.450984,0.000164508,0.0381334,0.0045328
clssopt,0.05,7,14,33,100,2.554276,1.736940,,0.017342,1.60026e+12,2.56045e+24
clsqdeim,0.05,7,14,33,100,2.760896,1.900971,0.928328,0.000940367,0.614849,0.153029
