method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,6,0.9999999,10,91,127,30,20.885383,16.190657,1.96919,0.0206464,0.40851,6.63496e-05
clssopt,0.1,6,0.9999999,10,91,127,35,21.710773,17.116353,2.21683,0.0206463,0.408511,6.62832e-05
sopt,0.1,6,0.9999999,10,91,127,35,16.887271,13.287034,1.95389,0.0206466,0.408517,6.63515e-05
clssopt,0.1,6,0.9999999,10,91,127,40,18.370014,19.045156,2.25512,0.0206464,0.408513,6.62913e-05
sopt,0.1,6,0.9999999,10,91,127,40,16.655234,10.972374,1.96593,0.0206467,0.408515,6.63246e-05
clssopt,0.1,6,0.9999999,10,91,127,45,19.038023,12.652807,2.31717,0.0206464,0.408515,6.62884e-05
sopt,0.1,6,0.9999999,10,91,127,45,13.402514,13.190713,2.10112,0.0206467,0.408514,6.6328e-05
clssopt,0.1,6,0.9999999,10,91,127,50,14.697820,12.384243,2.34375,0.0206464,0.408511,6.62867e-05
sopt,0.1,6,0.9999999,10,91,127,50,13.769532,10.849804,2.12182,0.0206467,0.408515,6.63107e-05
clssopt,0.1,6,0.9999999,10,91,127,55,12.622647,11.734852,2.34831,0.0206462,0.408508,6.62921e-05
sopt,0.1,6,0.9999999,10,91,127,55,12.421697,9.474260,2.1825,0.0206464,0.408513,6.63164e-05
clssopt,0.1,6,0.9999999,10,91,127,60,13.399148,10.955641,2.47996,0.0206462,0.408508,6.62929e-05
sopt,0.1,6,0.9999999,10,91,127,60,10.279744,8.625495,2.28235,0.0206464,0.408514,6.63182e-05
clssopt,0.1,6,0.9999999,10,91,127,65,12.567186,10.851315,2.5742,0.0206462,0.408508,6.62915e-05
sopt,0.1,6,0.9999999,10,91,127,65,11.873263,8.153508,2.31348,0.0206464,0.408514,6.63167e-05
clssopt,0.1,6,0.9999999,10,91,127,70,11.341770,11.620379,2.569,0.0206462,0.408507,6.62918e-05
sopt,0.1,6,0.9999999,10,91,127,70,10.822339,7.970230,2.40085,0.0206465,0.408516,6.62917e-05
clssopt,0.1,6,0.9999999,10,91,127,75,11.125890,10.780888,2.63041,0.0206463,0.408507,6.62918e-05
sopt,0.1,6,0.9999999,10,91,127,75,10.966467,7.891936,2.42456,0.0206465,0.408517,6.6293e-05
clssopt,0.1,6,0.9999999,10,91,127,80,9.633822,10.001851,2.68122,0.0206464,0.408507,6.62956e-05
sopt,0.1,6,0.9999999,10,91,127,80,10.434509,8.024649,2.45219,0.0206465,0.408516,6.62937e-05
clssopt,0.1,6,0.9999999,10,91,127,85,9.745338,8.793919,2.68306,0.0206465,0.408507,6.62924e-05
sopt,0.1,6,0.9999999,10,91,127,85,8.596674,7.857378,2.3752,0.0206465,0.408518,6.63038e-05
clssopt,0.1,6,0.9999999,10,91,127,90,9.339196,9.924553,2.75884,0.0206466,0.408508,6.62968e-05
sopt,0.1,6,0.9999999,10,91,127,90,8.385935,7.424198,2.55332,0.0206465,0.408517,6.63035e-05
clssopt,0.1,6,0.9999999,10,91,127,95,8.665554,8.839139,2.75883,0.0206466,0.408509,6.62951e-05
sopt,0.1,6,0.9999999,10,91,127,95,8.507711,7.560636,2.58027,0.0206467,0.408518,6.63031e-05
clssopt,0.1,6,0.9999999,10,91,127,100,9.013924,8.834376,2.82312,0.0206466,0.408511,6.62837e-05
sopt,0.1,6,0.9999999,10,91,127,100,7.979366,7.286828,2.65082,0.0206466,0.408517,6.63019e-05
